ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT,neighborhood
020043000,1054700,101,1854,FIELD RD,,LOT 6 BK 8 RUGBY,14636.16,Venable
030003000,751100,102,1717,RUGBY AVE,,LOT,11586.96,Woolen Mills
030005000,686200,103,1715,RUGBY AVE,,PT LOT 2,10846.44,10th & Page
020053000,1009200,104,1832,WESTVIEW RD,,LOT 6 & PT 5 BK 7 RUGBY,17467.56,The Meadows
020066000,1201500,105,942,ROSSER LN,,LOT 23 BK I RUGBY,25700.4,Greenbrier
020045000,984400,106,913,OLD FARM RD,,LOT 4 BK 8 RUGBY,11238.48,10th & Page
030006100,1229900,107,1705,RUGBY AVE,,LOT A,27834.84,Venable
020039000,1078200,108,1849,WINSTON RD,,PT LOTS 10 & 11 BK 5 RUGBY,12763.08,North Downtown
030006000,948800,109,1701,RUGBY AVE,,LOT B,20734.56,Venable
030002000,746800,110,1102,RUGBY RD,,PT LOT RUGBY,16335.0,Locust Grove
020040000,611800,111,1847,WINSTON RD,,PT LOT 11 BK 5 RUGBY,9016.92,Barracks Rugby
030007000,447000,112,1106,STONEFIELD LN,,LOT 2 RUGBY WOODS,7797.24,The Meadows
020065000,1323300,113,938,ROSSER LN,,REVISED LOT 22 BK I RUGBY,24262.92,Rose Hill
020046000,990900,114,911,OLD FARM RD,,LOTS 2A & 3 BK 8 RUGBY,15812.28,Johnson Village
020052000,1251600,115,916,OLD FARM RD,,PT LOTS 4 & 5 BK 7 RUGBY,12371.04,Rose Hill
030004000,1132600,116,1711,RUGBY AVE,,LOT,11543.4,Woolen Mills
020041000,1015400,117,1843,WINSTON RD,,LOTS 12 & 13 BK 8 RUGBY,26702.28,Fry's Spring
020054600,1130700,118,915,COTTAGE LN,,LOT 7 BK B RUGBY,13285.8,Locust Grove
020068000,3500800,119,1007,RUGBY RD,,LOTS 1 & 2A BK 1 RUGBY,80803.8,Barracks Road
030009000,469100,120,1641,RUGBY AVE,,LOT 2 RUGBY WOODS,11238.48,Locust Grove
030010000,907700,121,1637,RUGBY AVE,,LOTS 3 & 3A RUGBY WOODS,13503.6,Johnson Village
020023000,2457200,122,1801,WESTVIEW RD,,LOT A1 BK 13 RUGBY,47785.32,10th & Page
030011000,226000,123,1627,RUGBY AVE,,LOT 4 RUGBY WOODS,12283.92,Venable
020051000,1030000,124,912,OLD FARM RD,,PT LOTS 3 & 4 BK 7 RUGBY,16509.24,Martha Jefferson
020064000,1141800,125,932,ROSSER LN,,LOT A BK 1 RUGBY,21823.56,Fry's Spring
030012000,769400,126,1625,RUGBY AVE,,LOT 5 RUGBY WOODS,12240.36,The Meadows
030008000,601300,127,1643,RUGBY AVE,,LOT 1 RUGBY WOODS,7274.52,Starr Hill
030013000,576900,128,1623,RUGBY AVE,,LOT 6 RUGBY WOODS,12283.92,The Meadows
020047000,1004600,129,907,OLD FARM RD,,LOT 2 BK 8 RUGBY,14026.32,Starr Hill
030014000,782000,130,1621,RUGBY AVE,,LOT A-1 RUGBY WOODS,12066.12,Martha Jefferson
020054500,1636200,131,911,COTTAGE LN,,LOT 6 BK B RUGBY,9931.68,North Downtown
030015000,1072100,132,1105,HERNDON RD,,LOT B-1 RUGBY WOODS,11935.44,North Downtown
020055101,995100,133,1828,WESTVIEW RD,,LOT 11 BK A RUGBY,13982.76,Locust Grove
030016000,1317800,134,1549,RUGBY AVE,,LOT 9 & PT 10 RUGBY WOODS,17380.44,Martha Jefferson
020063000,1421400,135,928,ROSSER LN,,LOT 20 BK 1 RUGBY,19297.08,Greenbrier
030018000,536400,136,1545,RUGBY AVE,,PT LOT 10 RUGBY WOODS,10367.28,Martha Jefferson
020050000,1492200,137,910,OLD FARM RD,,LOT A RUGBY,16335.0,North Downtown
020055900,323400,138,1824,WESTVIEW RD,,LOT 10 BK A RUGBY,10018.8,Starr Hill
020048000,1101400,139,1839,WINSTON RD,,LOT 1 BK 8 RUGBY,13808.52,Jefferson Park Avenue
030052000,858100,140,1006,RUGBY RD,,LOT B MALLISON PROP,17206.2,The Meadows
020054400,740800,141,909,COTTAGE LN,,LOT 5 BK B RUGBY,11107.8,Johnson Village
030051000,656700,142,1718,RUGBY AVE,,PT LOT 2,23261.04,Locust Grove
020055110,645400,143,910,COTTAGE LN,,LOT 12 BK A RUGBY,10846.44,10th & Page
030050000,667000,144,1710,RUGBY AVE,,PT LOT 2,23304.6,Johnson Village
020055800,1423300,145,1822,WESTVIEW RD,,LOT 9 BK A RUGBY,12283.92,The Meadows
030049000,820800,146,1708,RUGBY AVE,,LOT 3,19079.28,Woolen Mills
030048000,607800,147,1706,RUGBY AVE,,LOT 4,16727.04,Belmont
020062000,1119300,148,924,ROSSER LN,,LOT 19 BK 1 RUGBY,16509.24,Barracks Rugby
030047000,869800,149,1702,RUGBY AVE,,LOT 5 & PARCEL X,20255.4,Woolen Mills
020050100,1121300,150,906,OLD FARM RD,,LOT B RUGBY,13852.08,Locust Grove
030046000,1047800,151,1700,RUGBY AVE,,LOT 6 & STRIP,24742.08,Locust Grove
020054300,1093600,152,907,COTTAGE LN,,LOT 4 BK B RUGBY,10497.96,North Downtown
030045000,1372400,153,1698,RUGBY AVE,,LOT B WESTWOOD,32060.16,Locust Grove
020055700,178400,154,1820,WESTVIEW RD,,LOT 8 BK A RUGBY,14287.68,Lewis Mountain
020055000,1127400,155,908,COTTAGE LN,,LOT 1 BK A RUGBY,0.0,Locust Grove
030052100,553500,156,1004,RUGBY RD,,LOT A MALLISON PROP,13416.48,Martha Jefferson
020049000,1201500,157,1825,WINSTON RD,,LOT 1 BK 7 RUGBY,14287.68,Jefferson Park Avenue
030024000,1068800,158,1626,RUGBY AVE,,LOT 1 BK B WESTWOOD,16030.08,10th & Page
020061000,1545600,159,920,ROSSER LN,,LOT 18 BK 1 RUGBY,15376.68,Locust Grove
020054200,1090300,160,905,COTTAGE LN,,LOT 3 BK B RUGBY,10497.96,Locust Grove
030023000,758600,161,1618,RUGBY AVE,,LOT 2 BK B WESTWOOD,15986.52,Venable
030022000,821200,162,1620,RUGBY AVE,,LOT 3 BK B WESTWOOD,15986.52,Greenbrier
020055600,975000,163,909,ROSSER LN,,LOT 7 BK A RUGBY,15681.6,Belmont
030021000,964900,164,1610,RUGBY AVE,,LOT 4 BK B WESTWOOD,15986.52,10th & Page
030020000,798400,165,1606,RUGBY AVE,,LOT 5 BK B WESTWOOD,15986.52,Belmont
020054000,748900,166,1823,WINSTON RD,,LOT 1 BK 5 RUGBY,9452.52,Barracks Rugby
030045100,543600,167,1165,KENSINGTON AVE,,LOT A WESTWOOD,8668.44,Woolen Mills
030019000,646000,168,1600,RUGBY AVE,,LOT 6 BK B WESTWOOD,13895.64,Rose Hill
030053000,317700,169,1224,PRESTON AVE,A&B,LOT,10715.76,Rose Hill
020071000,447300,170,925,RUGBY RD,,LOT 6 BK 1 RUGBY,24611.4,Starr Hill
020060000,1232500,171,918,ROSSER LN,,PT LOT 17 & PAR X  BK 18 RUGBY,12327.48,Jefferson Park Avenue
020054100,1189300,172,1821,WINSTON RD,,LOT 2 BK B RUGBY,10802.88,Venable
020055100,867600,173,904,COTTAGE LN,,LOT 2 BK A RUGBY,9452.52,Rose Hill
020055500,1083900,174,907,ROSSER LN,,LOT 6 BK A RUGBY,12675.96,Martha Jefferson
030144000,2906500,175,936,RUGBY RD,,"PT LOTS 31,32 & 30' STRIP",107288.28,North Downtown
030044000,690100,176,1163,KENSINGTON AVE,,LOT 3 BK A WESTWOOD,22781.88,Fifeville
030054000,300700,177,1222,PRESTON AVE,,LOT,17206.2,Fry's Spring
030025000,678200,178,1619,WESTWOOD RD,,LOT 9 BK B WESTWOOD,15986.52,Locust Grove
020055400,1137600,179,905,ROSSER LN,,LOT 5 BK A RUGBY,13503.6,Woolen Mills
020072000,1231000,180,921,RUGBY RD,,LOT 7 BK 1 RUGBY,14418.36,Barracks Rugby
030026000,1217100,181,1617,WESTWOOD RD,,LOT 10 BK B WESTWOOD,15986.52,Johnson Village
020055200,1188400,182,1815,WINSTON RD,,LOT 3 BK A RUGBY,11238.48,10th & Page
030027000,694400,183,1615,WESTWOOD RD,,LOT 11 BK B WESTWOOD,15986.52,Johnson Village
030028000,987300,184,1611,WESTWOOD RD,,LOT 12 BK B WESTWOOD,15986.52,Woolen Mills
030055000,384800,185,1220,PRESTON AVE,,LOT,12371.04,Barracks Rugby
020073000,1220500,186,919,RUGBY RD,,LOT 8 BK 1 RUGBY,13198.68,North Downtown
020055300,925300,187,901,ROSSER LN,,LOT 4 BK A RUGBY,16160.76,Greenbrier
030043000,1308400,188,1159,KENSINGTON AVE,,LOT 4 BK A WESTWOOD,24393.6,Belmont
020074000,1599200,189,917,RUGBY RD,,LOT 9 BK 1 RUGBY,12240.36,Barracks Rugby
030056000,427500,190,1218,PRESTON AVE,,LOT A,8668.44,Johnson Village
030059000,377200,191,1214,PRESTON AVE,,LOT 1,12414.6,Greenbrier
030057000,55600,192,1216,PRESTON AVE,,KELLEY JR LOT,10149.48,Jefferson Park Avenue
030139000,2960000,193,928,RUGBY RD,,LOT A,53535.24,Fry's Spring
020075000,1185600,194,915,RUGBY RD,,LOT 10 BK 1 RUGBY,11107.8,Starr Hill
030042000,790300,195,1155,KENSINGTON AVE,,LOT 5 BK A WESTWOOD,21605.76,Johnson Village
030032000,733200,196,1622,WESTWOOD RD,,LOT 1 BK CC WESTWOOD,23348.16,Fry's Spring
030058000,526300,197,1212,PRESTON AVE,,LOT,8712.0,Locust Grove
020076000,2051800,198,905,RUGBY RD,,LOT 11 BK 1 RUGBY,12980.88,Woolen Mills
030031000,1526000,199,1618,WESTWOOD RD,,LOT 5 BK C WESTWOOD,15986.52,10th & Page
030030000,742300,200,1614,WESTWOOD RD,,LOT 4 BK C WESTWOOD,15986.52,Johnson Village
030029000,1205200,201,1610,WESTWOOD RD,,LOT 3 BK C WESTWOOD,15986.52,Greenbrier
030143000,400100,202,937,HEMLOCK LN,,LOT 1,11369.16,Rose Hill
020077000,1153300,203,901,RUGBY RD,,LOT 12 BK 1 RUGBY,11107.8,Johnson Village
030041000,1034000,204,1151,KENSINGTON AVE,,LOT 6 BK A WESTWOOD,21649.32,Starr Hill
030065000,649500,205,1208,PRESTON AVE,,RESIDUE OF PT LOTS 7 & 8,15246.0,Locust Grove
030066000,518500,206,1204,PRESTON AVE,,LOT 3 & PARCEL X,9931.68,Lewis Mountain
030067000,448700,207,1202,PRESTON AVE,,LOT 2,7056.72,Johnson Village
030067200,936900,208,1607,CABELL AVE,,LOT 4,8145.72,Johnson Village
030142000,404900,209,935,HEMLOCK LN,,LOT 2,7492.32,North Downtown
030141000,340700,210,933,HEMLOCK LN,,LOT 3,7492.32,Martha Jefferson
030033000,1063800,211,1629,HARDWOOD AVE,,LOT 2 BK CC WESTWOOD,17946.72,Fifeville
030140000,442100,212,931,HEMLOCK LN,,LOT 4,8712.0,10th & Page
030034000,724800,213,1625,HARDWOOD AVE,,LOT 3 BK CC WESTWOOD,15986.52,Greenbrier
030035000,620000,214,1619,HARDWOOD AVE,,LOT 4 BK CC WESTWOOD,15986.52,Belmont
030040000,690300,215,1147,KENSINGTON AVE,,LOT 7 BK A WESTWOOD,21431.52,Martha Jefferson
030139100,1285100,216,835,CABELL AVE,,LOT B,37810.08,North Downtown
030136000,359100,217,936,HEMLOCK LN,,LOT 5,6969.6,The Meadows
030060100,582500,218,1609,CABELL AVE,,LOT 1 ROBINSON WOODS,7405.2,Locust Grove
030137000,339100,219,932,HEMLOCK LN,,LOT 6,7318.08,Johnson Village
030039000,806000,220,1143,KENSINGTON AVE,,LOT 8 BK A WESTWOOD,38855.52,Barracks Rugby
030138000,343300,221,930,HEMLOCK LN,,LOT 7,8015.04,Venable
030067100,633400,222,1605,CABELL AVE,,LOT 1,7448.76,Locust Grove
030038000,638700,223,1630,HARDWOOD AVE,,LOT 9 BK A WESTWOOD,21387.96,The Meadows
030037000,605000,224,1624,HARDWOOD AVE,,LOT 10 BK A WESTWOOD,15986.52,Belmont
030036000,672600,225,1620,HARDWOOD AVE,,LOT 11 BK A WESTWOOD,15986.52,North Downtown
030128000,2146800,226,832,CABELL AVE,,PT LOT 1 & PARCEL X,0.0,Greenbrier
030068000,174400,227,,PRESTON AVE,,LOT 1,4356.0,Barracks Road
030126100,6281300,228,1123-29,PRESTON AVE,,PARCEL B PRESTON SQ APTS,1393920.0,Fry's Spring
030078000,737100,229,100,BARBOUR DR,,LOT 8,10193.04,Barracks Road
030079000,814400,230,1614,CABELL AVE,,LOT 9,9844.56,North Downtown
030080000,0,231,0,AMHERST CMN,,COMMON AREA-AMHERST COMMONS,21039.48,Rose Hill
030077000,778100,232,102,BARBOUR DR,,LOT 7,9016.92,Woolen Mills
030073000,542500,233,1124,PRESTON AVE,A&B,PARCEL A,7971.48,Barracks Road
030072000,174400,234,105,BARBOUR DR,,LOT 3,6098.4,Locust Grove
030130000,416300,235,1117,PRESTON AVE,,LOT PRESTON HEIGHTS,13068.0,Barracks Road
030076000,452200,236,104,BARBOUR DR,,LOT 6,6490.44,10th & Page
030074000,322100,237,107,BARBOUR DR,,LOT 4,6359.76,Belmont
030075000,174400,238,106,BARBOUR DR,,LOT 5,7971.48,Johnson Village
030126000,6382000,239,1111,PRESTON AVE,,PARCEL A PRESTON SQ APTS,0.0,Lewis Mountain
030081000,381100,240,1114,PRESTON AVE,,LOT,22215.6,Jefferson Park Avenue
030091000,230100,241,1112,PRESTON AVE,,LOT 1 TINSLEY TOWN,8842.68,Venable
030082000,55600,242,0,PRESTON AVE,,LOT 5,9757.44,Rose Hill
030127000,297100,243,1109,PRESTON AVE,,LOT 11,12545.28,Lewis Mountain
030125000,16205800,244,814-828,CABELL AVE,,"LOTS 1-4,7,8,REVISED 6",0.0,Starr Hill
030124000,421000,245,1105,PRESTON AVE,,PT LOT 12 JEFFERIES ADDITION,12763.08,10th & Page
030090000,315700,246,1108,PRESTON AVE,,PT LOT 2 TINSLEY TOWN,6403.32,Woolen Mills
030093200,396800,247,1102,PRESTON AVE,A&B,LOT 2,7797.24,Fifeville
030093000,457300,248,1104,PRESTON AVE,,RESERVED AREA,16901.28,Starr Hill
030123000,1375500,249,839,MADISON AVE,,PT LOTS 13 & 14,0.0,The Meadows
030093100,505600,250,1100,PRESTON AVE,A&B,LOT 1,9321.84,Barracks Road
030089000,512300,251,1106,PRESTON AVE,A&B,LOT 3 & PT 7 TINSLEY TOWN,13764.96,Woolen Mills
030125200,19884900,252,704,MADISON AVE,,RESIDUE HAYES GARDENS,0.0,Jefferson Park Avenue
030118000,4027500,253,1015,PRESTON AVE,,LOTS,67953.6,Rose Hill
030114000,168900,254,712,12TH ST NW,,LOT 14,3528.36,North Downtown
030113000,278100,255,708,12TH ST NW,,LOT 13 PARK HEIGHTS,6359.76,Greenbrier
040009000,307800,256,609,13TH ST NW,,LOT 1 BK 38 PRESTON HEIGHTS,5619.24,Greenbrier
030110000,326200,257,705,12TH ST NW,,LOT 20 PARK HEIGHTS,4094.64,10th & Page
040002000,582200,258,606,14TH ST NW,,LOT 8 & PT 7 BK 38 PRESTON HGT,8015.04,Barracks Road
030112000,320500,259,706,12TH ST NW,,LOT 12 PARK HEIGHTS,6403.32,Greenbrier
030096000,306800,260,1011,PRESTON AVE,,LOT A,6926.04,Greenbrier
030103000,154900,261,124,ROSSER AVE E,,LOT 6 PARK HEIGHTS,7318.08,Belmont
030102000,298600,262,122,ROSSER AVE E,,LOT 5 PARK HEIGHTS,7318.08,Locust Grove
030101000,118300,263,120,ROSSER AVE E,,LOT 4 PARK HEIGHTS,6882.48,Greenbrier
040008000,372200,264,603,13TH ST NW,,LOT 2&Y BK 38 PRESTON HEIGHTS,5793.48,North Downtown
030100000,199200,265,118,ROSSER AVE E,,LOT 3 PARK HEIGHTS,5488.56,Fry's Spring
030099000,233600,266,116,ROSSER AVE E,,LOT 2 PARK HEIGHTS,4704.48,Jefferson Park Avenue
030098000,272700,267,114,ROSSER AVE E,,LOT 1 PARK HEIGHTS,4965.84,Rose Hill
030109000,413900,268,703,12TH ST NW,,LOT 19 PARK HEIGHTS,4399.56,Johnson Village
030111000,452700,269,704,12TH ST NW,,LOT 11 PARK HEIGHTS,5401.44,North Downtown
040003000,588400,270,604,14TH ST NW,,LOT 9 BK 38 PRESTON HEIGHTS,6490.44,Fry's Spring
040010000,415600,271,608,13TH ST NW,,LOT 9 & PT 10 BK 37 PRESTON HG,7230.96,Jefferson Park Avenue
030104000,245300,272,126,ROSSER AVE E,,LOT 7 PARK HEIGHTS,5706.36,Lewis Mountain
030097000,426800,273,100,ROSSER AVE E,,LOT A,9147.6,Lewis Mountain
040005000,445100,274,1305,GRADY AVE,,LOT 3 BK 38 PRESTON HEIGHTS,6272.64,Barracks Road
030107000,343100,275,132,ROSSER AVE E,,LOT 10 PARK HEIGHTS,4007.52,Jefferson Park Avenue
040006000,128800,276,1303,GRADY AVE,,PT LOT 2 BK 38 PRESTON HGTS,4573.8,10th & Page
030106000,223900,277,130,ROSSER AVE E,,LOT 9 PARK HEIGHTS,4007.52,Jefferson Park Avenue
030108000,253200,278,200,ROSSER AVE E,,LOT 18 PARK HEIGHTS,3136.32,Woolen Mills
030105000,215300,279,128,ROSSER AVE E,,LOT 8 PARK HEIGHTS,4007.52,Johnson Village
